iter	Passed	Remaining
0	6	6329
1	10	5468
2	14	4949
3	19	4734
4	23	4718
5	29	4807
6	33	4777
7	39	4841
8	44	4849
9	48	4832
10	53	4797
11	57	4738
12	62	4744
13	67	4728
14	72	4757
15	78	4832
16	83	4836
17	88	4852
18	93	4820
19	98	4827
20	104	4854
21	108	4833
22	112	4785
23	116	4741
24	121	4722
25	124	4650
26	127	4609
27	131	4553
28	135	4546
29	140	4558
30	145	4543
31	148	4505
32	153	4490
33	157	4466
34	161	4455
35	165	4429
36	169	4405
37	173	4388
38	177	4381
39	182	4386
40	187	4383
41	192	4391
42	196	4371
43	200	4356
44	204	4332
45	208	4331
46	213	4328
47	218	4333
48	223	4329
49	227	4327
50	233	4340
51	239	4359
52	243	4346
53	247	4342
54	252	4343
55	258	4351
56	262	4344
57	266	4331
58	271	4327
59	275	4317
60	280	4311
61	285	4315
62	289	4311
63	294	4302
64	299	4301
65	303	4291
66	307	4282
67	311	4274
68	316	4274
69	321	4273
70	325	4258
71	330	4262
72	335	4260
73	341	4267
74	345	4260
75	349	4248
76	354	4250
77	359	4249
78	363	4241
79	369	4246
80	374	4248
81	379	4243
82	384	4247
83	388	4238
84	392	4227
85	396	4215
86	401	4210
87	406	4210
88	411	4208
89	416	4210
90	421	4205
91	425	4197
92	429	4193
93	433	4175
94	439	4183
95	443	4179
96	448	4171
97	453	4171
98	458	4170
99	462	4158
100	466	4155
101	471	4148
102	475	4141
103	480	4143
104	485	4135
105	490	4135
106	495	4131
107	499	4128
108	504	4123
109	509	4119
110	514	4120
111	519	4116
112	523	4112
113	528	4110
114	534	4112
115	534	4112
116	539	4107
117	539	4107
118	543	4096
119	548	4093
120	553	4092
121	558	4089
122	563	4083
123	568	4080
124	573	4078
125	577	4068
126	581	4063
127	586	4058
128	591	4055
129	596	4051
130	600	4047
131	605	4045
132	610	4043
133	615	4041
134	621	4039
135	625	4034
136	630	4028
137	635	4025
138	639	4021
139	644	4018
140	650	4018
141	655	4015
142	661	4020
143	666	4019
144	672	4022
145	677	4016
146	681	4010
147	686	4005
148	691	4002
149	696	4002
150	702	4005
